id,mis_month,total_zaimu,マネジメント資質,ヴァイタリティ,人あたり,チームワーク,創造的思考力,問題解決力,状況適応力,プレッシャーへの耐力,オーガナイズ能力,統率力,営業Ⅰ,営業Ⅱ,スタッフ,一般事務,エンジニア,研究開発,接客／店頭販売／コールセンター,言語標準点,計数標準点,説得力,指導力,独自性,外向性,友好性,社会性,謙虚さ,協議性,面倒み,具体的事物,データ,美的価値,人間,オーソドックス,変化志向,概念性,創造的,計画性,緻密,几帳面,余裕,心配性,タフ,抑制,楽観的,批判的,行動力,競争性,上昇志向,entry,function,total_zaimu_ins,total_zaimu_mf,total_zaimu_pd,total_zaimu_sib,total_zaimu_ttb,total_zaimu_tts,total_zaimu_xcy,avg_total_zaimu,avg_total_zaimu_ins,avg_total_zaimu_mf,avg_total_zaimu_pd,avg_total_zaimu_sib,avg_total_zaimu_ttb,avg_total_zaimu_tts,avg_total_zaimu_xcy,std_total_zaimu,std_total_zaimu_ins,std_total_zaimu_mf,std_total_zaimu_pd,std_total_zaimu_sib,std_total_zaimu_ttb,std_total_zaimu_tts,std_total_zaimu_xcy,dv_total_zaimu,dv_total_zaimu_ins,dv_total_zaimu_mf,dv_total_zaimu_pd,dv_total_zaimu_sib,dv_total_zaimu_ttb,dv_total_zaimu_tts,dv_total_zaimu_xcy
0C1319,1511,1636070.469,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,786626,392923.4685,,258669,197852,,2111329.597,1370569.561,766613.4509,370095.486,159309.7179,185527.6118,119454.3721,27406.98387,1595348.559,2057248.522,545662.2837,306592.0236,147798.2575,175108.2033,149217.781,32661.55348,47.02096996,,50.36675705,50.74457196,,54.17692529,55.25390656,
0C1319,1512,1845763.881,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,956355,220688.8805,,277056,391514,150,2704708.413,1424206.249,1144360.315,331884.6159,89958.19486,154966.4353,220543.7647,22433.66667,1638812.925,1733450.233,835128.0634,247882.9473,141302.9706,169406.6737,223702.8848,22119.60097,44.75873957,,47.74878461,45.51418375,,57.20689227,57.64273717,39.92582791
0C1319,1601,1446575.183,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,560235,140350.1825,,192568,553422,,2460326.856,1333240.314,893078.3664,202427.1142,608472.3837,145026.96,233238.2174,23869.19149,1555398.774,986197.8678,816497.0085,194763.1569,1659617.168,241738.567,202161.177,35175.42509,43.48236806,,45.92352007,46.81269637,,51.96663034,65.83804504,
0C1319,1602,1902723.89,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,595785,272354.89,,272172,762412,,2706094.407,1710303.189,731846.5899,220035.0116,346129.0249,183310.7368,232482.5444,28226.70833,1198348.042,1100158.925,658093.4683,209039.4181,414998.0299,238726.7801,164408.9125,31360.35138,43.29601677,,47.93248837,52.50287141,,53.72229974,82.23240441,
0C1319,1603,853658.3835,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,243432,134711.5085,42082.875,64182,369250,,2838642.72,2358982.454,552323.058,165614.7337,178901.7123,133648.1449,93012.38636,23223,1666398.75,1478323.211,543218.9781,184213.9733,299659.2495,144722.417,112222.7844,27359.90042,38.08817916,,44.31369171,48.32242774,45.43418608,45.20004251,74.6151096,
0C1319,1604,911215.5814,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,482401.8519,104568.7295,,180730,108453,35062,2061524.216,1796283.515,508553.867,136363.6732,90889.99447,144353.7973,96296.6875,24286.24242,1401899.304,1268754.189,426806.1844,172747.6666,145768.4721,174999.3629,191064.2384,30421.50853,41.79464152,,49.38726251,48.15945741,,52.07864772,50.63624217,53.54215096
0C1319,1605,890229.2959,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,265037.963,123188.8889,36414.444,,281367,154251,29970,2424209.11,2176919.621,462136.0177,145985.5163,128243.7721,94346.61842,83528.58947,16692.86538,1395531.779,1179479.984,437169.3367,170905.7348,260526.5156,121826.2965,148784.4405,24389.06826,39.00791915,33.79046966,42.24677716,43.58880073,,65.35139678,54.75334721,55.4438876
0C1319,1606,895330.4206,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,47267.59259,72871.828,,5265,746557,23369,2904072.934,2339621.759,588686.1631,160594.527,85167.33895,123973.0462,272731.7708,34687.93878,1663033.513,1510205.005,543665.7569,219591.1001,138298.1648,211697.1933,238546.363,39124.89157,37.92121447,,40.04133397,46.00517967,,44.39255456,69.86302466,47.10697249
0C1319,1607,585497.9842,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,148490.7407,156566.2435,,37002,213341,30098,2112525.021,1831152.848,589025.7471,262816.4251,86375.54443,90592.72464,149003.2442,21885.4375,1676118.593,1761210.568,556390.3538,270026.5555,152978.412,115899.7007,202625.4349,49831.19822,40.88950482,,42.08226736,46.06519509,,45.3761119,53.1752063,51.64807646
0C1319,1608,740210.634,8,7,6,6,1,6,5,7,8,3,6,6,6,6,7,3,5,7,7,5,3,2,6,7,8,2,6,4,2,6,4,4,5,5,4,1,9,8,8,8,6,5,6,8,4,6,7,6,2011,GE,,200000,189048.634,,8158,343004,,1955493.709,1954011.864,439741.209,297118.7896,70123.92273,116836.3488,211142.6023,34391.61111,1745579.059,1768877.853,370671.5816,234595.8401,65070.65466,322092.916,282224.308,110900.378,43.03793736,,43.53224739,45.39334732,,46.62586963,54.67221972,
